Date,US,Canada,Germany,Netherlands,France,Spain,Switzerland,Belgium,Brasil,Mexico,Argentina,Israel,Australia,Indonesia,HongKong,Korea,Japan,India,China,Taiwan
2005-07-20 00:00:00,1235.199951171875,10329.599609375,4784.5,395.5799865722656,4418.39013671875,10007.0,6510.7001953125,3185.3701171875,25705.0,14306.0595703125,1487.800048828125,688.0800170898438,4263.2998046875,1140.656005859375,14602.7001953125,1074.4000244140625,11789.349609375,7342.89013671875,1021.052001953125,6423.81005859375
2005-07-21 00:00:00,1227.0400390625,10317.7001953125,4829.8701171875,395.92999267578125,4425.66015625,10021.5,6492.0,3202.14990234375,25842.0,14271.8896484375,1479.0,692.2999877929688,4302.7001953125,1157.5140380859375,14620.1396484375,1074.6500244140625,11786.73046875,7304.31982421875,1020.6320190429688,6394.02978515625
2005-07-22 00:00:00,1233.6800537109375,10374.7998046875,4836.89990234375,394.29998779296875,4415.52001953125,10018.7998046875,6492.5,3186.0,25391.0,14318.4697265625,1481.800048828125,692.2999877929688,4324.2001953125,1172.2440185546875,14786.4599609375,1074.219970703125,11695.0498046875,7423.25,1046.321044921875,6380.72998046875
2005-07-25 00:00:00,1229.030029296875,10362.599609375,4842.7001953125,394.5400085449219,4422.1201171875,10017.099609375,6503.89990234375,3186.97998046875,24531.0,14135.240234375,1453.9000244140625,695.280029296875,4335.60009765625,1169.75,14794.0302734375,1089.699951171875,11762.650390625,7505.60009765625,1045.4000244140625,6420.4501953125
2005-07-26 00:00:00,1231.1600341796875,10367.900390625,4843.490234375,395.54998779296875,4420.77978515625,10043.2998046875,6521.0,3198.570068359375,24868.0,14067.73046875,1479.699951171875,694.760009765625,4338.10009765625,1178.0030517578125,14769.9296875,1090.5999755859375,11737.9599609375,7552.77001953125,1072.8070068359375,6366.16015625
2005-07-27 00:00:00,1236.7900390625,10500.7001953125,4855.35009765625,395.1000061035156,4433.1298828125,10088.7001953125,6560.10009765625,3217.81005859375,25338.0,14173.3798828125,1502.9000244140625,700.0399780273438,4347.60009765625,1178.112060546875,14801.8603515625,1093.030029296875,11835.080078125,7605.02978515625,1089.9090576171875,6327.25
2005-07-28 00:00:00,1243.719970703125,10516.2001953125,4892.5,394.9700012207031,4462.259765625,10128.7998046875,6612.39990234375,3232.77001953125,26068.0,14256.83984375,1511.199951171875,696.1599731445312,4329.10009765625,1186.614013671875,14813.3203125,1104.719970703125,11858.3095703125,7605.02978515625,1086.5479736328125,6375.64013671875
2005-07-29 00:00:00,1234.1800537109375,10422.900390625,4886.5,395.7699890136719,4451.740234375,10115.599609375,6600.89990234375,3228.010009765625,26042.0,14409.66015625,1507.5999755859375,696.1599731445312,4346.7001953125,1182.301025390625,14880.98046875,1111.2900390625,11899.599609375,7635.419921875,1083.032958984375,6311.97998046875
2005-08-01 00:00:00,1235.3499755859375,10422.900390625,4890.85009765625,396.9599914550781,4456.8701171875,10068.900390625,6609.39990234375,3234.050048828125,26298.0,14582.5,1522.699951171875,691.469970703125,4337.60009765625,1178.2230224609375,14978.8798828125,1115.97998046875,11946.919921875,7669.4501953125,1088.947998046875,6307.93017578125
2005-08-02 00:00:00,1244.1199951171875,10621.2001953125,4932.8701171875,397.9800109863281,4503.330078125,10113.900390625,6672.2001953125,3251.64990234375,26789.0,14677.66015625,1535.5,710.77001953125,4343.39990234375,1189.3270263671875,15137.080078125,1118.8299560546875,11940.2001953125,7756.0400390625,1104.0379638671875,6343.5400390625
2005-08-03 00:00:00,1245.0400390625,10598.7998046875,4923.1201171875,396.9200134277344,4495.47998046875,10149.7001953125,6658.10009765625,3269.739990234375,26714.0,14615.9599609375,1508.199951171875,711.8900146484375,4326.2998046875,1192.2030029296875,15118.5,1117.1099853515625,11981.7998046875,7756.47021484375,1107.698974609375,6455.56982421875
2005-08-04 00:00:00,1235.8599853515625,10626.7001953125,4874.06005859375,394.67999267578125,4458.97021484375,10074.2998046875,6617.2998046875,3256.4599609375,26470.0,14612.2197265625,1526.9000244140625,710.8699951171875,4328.5,1185.3270263671875,15111.5400390625,1111.3900146484375,11883.3095703125,7797.080078125,1102.5889892578125,6446.009765625
2005-08-05 00:00:00,1226.4200439453125,10550.5,4827.18017578125,391.30999755859375,4421.7001953125,10045.400390625,6607.7001953125,3249.449951171875,26518.0,14463.1396484375,1517.9000244140625,710.8699951171875,4333.10009765625,1174.0899658203125,15051.3203125,1089.3599853515625,11766.48046875,7754.0,1128.7430419921875,6446.009765625
2005-08-08 00:00:00,1223.1300048828125,10614.400390625,4837.85986328125,391.42999267578125,4441.009765625,10115.5,6634.2998046875,3253.56005859375,26711.0,14596.76953125,1494.0,695.4600219726562,4365.2001953125,1158.5860595703125,15108.9404296875,1086.6400146484375,11778.98046875,7606.169921875,1138.8819580078125,6380.02978515625
2005-08-09 00:00:00,1231.3800048828125,10585.900390625,4909.47998046875,395.8800048828125,4491.68994140625,10145.599609375,6638.89990234375,3300.6298828125,27291.0,14673.33984375,1504.0,693.5900268554688,4374.5,1162.7989501953125,15047.83984375,1099.77001953125,11900.3203125,7595.56982421875,1152.5340576171875,6380.0
2005-08-10 00:00:00,1229.1300048828125,10671.400390625,4990.56982421875,401.57000732421875,4527.10986328125,10229.2001953125,6689.2001953125,3314.81005859375,27117.0,14702.580078125,1509.199951171875,699.989990234375,4384.7998046875,1176.8380126953125,15346.41015625,1104.8599853515625,12098.080078125,7729.81982421875,1165.032958984375,6356.83984375
2005-08-11 00:00:00,1237.81005859375,10699.900390625,4953.93017578125,400.1499938964844,4509.10009765625,10222.099609375,6680.5,3302.510009765625,26633.0,14768.9501953125,1496.5999755859375,697.219970703125,4423.89990234375,1167.9720458984375,15445.2001953125,1123.77001953125,12263.3203125,7816.509765625,1183.5789794921875,6353.7099609375
2005-08-12 00:00:00,1230.3900146484375,10683.099609375,4937.330078125,396.05999755859375,4476.47998046875,10187.2001953125,6647.5,3286.699951171875,26951.0,14673.2197265625,1479.300048828125,697.219970703125,4431.89990234375,1153.968994140625,15450.9501953125,1130.219970703125,12261.6796875,7767.490234375,1167.9150390625,6350.89990234375
2005-08-15 00:00:00,1233.8699951171875,10650.7001953125,4922.33984375,395.6600036621094,4466.580078125,10184.900390625,6636.39990234375,3280.530029296875,27375.0,14842.7001953125,1479.300048828125,708.97998046875,4425.5,1118.2740478515625,15466.0595703125,1130.219970703125,12256.5498046875,7767.490234375,1187.0059814453125,6245.1298828125
2005-08-16 00:00:00,1219.3399658203125,10534.7998046875,4883.81005859375,394.6400146484375,4444.56982421875,10139.7998046875,6634.60009765625,3285.010009765625,27080.0,14559.1904296875,1471.0,708.9099731445312,4446.2998046875,1113.824951171875,15443.6201171875,1116.9300537109375,12315.669921875,7768.240234375,1177.2779541015625,6242.39990234375
2005-08-17 00:00:00,1220.239990234375,10500.7001953125,4871.4599609375,393.5299987792969,4439.6298828125,10094.099609375,6631.39990234375,3279.300048828125,27416.0,14560.330078125,1490.800048828125,719.6400146484375,4429.7998046875,1113.824951171875,15449.580078125,1113.25,12273.1201171875,7859.52978515625,1192.833984375,6241.919921875
2005-08-18 00:00:00,1219.02001953125,10391.2998046875,4851.27001953125,391.3800048828125,4430.06982421875,10037.900390625,6596.39990234375,3252.830078125,26900.0,14619.98046875,1484.699951171875,726.9199829101562,4410.2001953125,1100.2989501953125,15148.08984375,1092.7099609375,12307.3701171875,7811.330078125,1148.0350341796875,6205.08984375
2005-08-19 00:00:00,1219.7099609375,10502.099609375,4929.91015625,393.9700012207031,4487.89990234375,10132.900390625,6636.60009765625,3272.110107421875,26644.0,14678.16015625,1495.4000244140625,726.9199829101562,4429.89990234375,1087.9530029296875,15038.6103515625,1089.8800048828125,12291.73046875,7780.759765625,1150.1839599609375,6158.93994140625
2005-08-22 00:00:00,1221.72998046875,10525.5,4941.68994140625,394.6700134277344,4485.93994140625,10174.7998046875,6623.2998046875,3270.909912109375,27261.0,14770.26953125,1532.5999755859375,725.5399780273438,4462.7001953125,1076.35302734375,15218.6298828125,1116.6800537109375,12452.509765625,7750.60009765625,1158.5970458984375,6206.64990234375
2005-08-23 00:00:00,1217.5899658203125,10480.0,4917.740234375,391.7300109863281,4436.56005859375,10104.099609375,6565.2998046875,3244.449951171875,26769.0,14717.91015625,1525.800048828125,718.47998046875,4451.60009765625,1066.092041015625,14973.8896484375,1115.8399658203125,12472.9296875,7615.990234375,1149.95703125,6195.18017578125
2005-08-24 00:00:00,1209.5899658203125,10509.7001953125,4915.9501953125,389.8599853515625,4424.43017578125,10078.900390625,6537.0,3234.489990234375,26712.0,14603.0,1536.0,710.8200073242188,4417.0,1035.4449462890625,14873.849609375,1094.2099609375,12502.259765625,7612.0,1167.136962890625,6127.240234375
