Date,Price,LogReturn,LogReturnNorm
2000-01-04,3050.89990234375,-0.02370967591798845,-2.420295199948259
2000-01-05,3030.10009765625,-0.0068409425436826155,-0.710155456008948
2000-01-06,3044.5,0.004741029560760168,0.4640163309002807
2000-01-09,3103.10009765625,0.01906495922823659,1.916165752566675
2000-01-10,3164.60009765625,0.019625052866970805,1.9729476324312258
2000-01-11,3104.60009765625,-0.01914178209615436,-1.9572054944276291
2000-01-12,3095.800048828125,-0.002838544135528309,-0.304395258311486
2000-01-13,3131.60009765625,0.011497717305744004,1.1490043494841025
2000-01-16,3139.89990234375,0.0026468339418048714,0.25170832412283556
2000-01-17,3151.199951171875,0.0035923960019044188,0.34756870815145624
2000-01-18,3105.39990234375,-0.014640817061776445,-1.500900980000055
2000-01-19,3137.10009765625,0.01015633730228771,1.0130162343876743
2000-01-20,3103.39990234375,-0.010800584220239884,-1.1115810078025028
2000-01-23,3096.60009765625,-0.0021934862625379026,-0.238999767063629
2000-01-24,3078.60009765625,-0.005829787022374688,-0.6076452552770856
2000-01-25,3078.60009765625,0.0,-0.016625748095217305
2000-01-26,3083.39990234375,0.0015578726576599422,0.1413102325587102
2000-01-27,3092.10009765625,0.002817650738730748,0.26902560496861055
2000-01-30,3096.0,0.0012604524162611597,0.11115798791876474
2000-01-31,3084.5,-0.0037213860599241144,-0.39389712125662013
2000-02-01,3116.300048828125,0.010256846653769358,1.0232057982862979
2000-02-02,3135.10009765625,0.006014686330789942,0.5931387145573122
2000-02-03,3115.10009765625,-0.006399816849935291,-0.6654344586340551
2000-02-06,3130.39990234375,0.004899474915790236,0.4800794040941591
2000-02-07,3124.0,-0.0020465287405322385,-0.22410132190618018
2000-02-08,3134.0,0.0031959119563893523,0.30737344813828055
2000-02-09,3172.5,0.012209776672577277,1.221192402744856
2000-02-10,3167.10009765625,-0.001703547090187385,-0.1893300952419395
2000-02-13,3135.300048828125,-0.010091494656117916,-1.0396940309495368
2000-02-14,3158.10009765625,0.007245733005619925,0.7179413182002025
2000-02-15,3148.300048828125,-0.003107971739536808,-0.33170963002543435
2000-02-16,3144.89990234375,-0.001080578033944235,-0.12617395193905706
2000-02-17,3120.10009765625,-0.007916978203351022,-0.8192431573000132
2000-02-20,3117.10009765625,-0.0009619701588547969,-0.11414957306994801
2000-02-21,3101.199951171875,-0.005113996112280361,-0.5350789009136139
2000-02-22,3112.5,0.003637144173072926,0.3521052447298591
2000-02-23,3106.89990234375,-0.0018008487177656463,-0.19919446245785757
2000-02-24,3123.699951171875,0.005392767931796882,0.5300890861112816
2000-02-27,3118.0,-0.0018264103692722244,-0.20178588382851662
2000-02-28,3135.699951171875,0.0056606484395658185,0.5572466143498921
2000-02-29,3192.60009765625,0.017983243361403112,1.8065021960640035
2000-03-01,3220.0,0.008545697119762607,0.8497307209941597
2000-03-02,3225.800048828125,0.0017996370813779805,0.1658201314643721
2000-03-05,3232.10009765625,0.0019511143510513307,0.18117678530575568
2000-03-06,3251.0,0.005830530333023276,0.5744691153717992
2000-03-07,3218.5,-0.010047228811234987,-1.0352063922541113
2000-03-08,3196.60009765625,-0.006827637008081311,-0.7088065506263513
2000-03-09,3199.5,0.000906772094925401,0.07530213788281637
2000-03-12,3190.300048828125,-0.0028795760301445483,-0.30855504151484386
2000-03-13,3187.39990234375,-0.0009094647620546681,-0.10882661468019877
2000-03-14,3163.5,-0.007526497200377236,-0.7796564813107002
2000-03-15,3180.199951171875,0.005265062937567677,0.5171424480155277
2000-03-16,3203.39990234375,0.007268642724501007,0.7202638885978525
2000-03-19,3228.10009765625,0.007681043847247437,0.7620728101573165
2000-03-20,3242.199951171875,0.004358337551034097,0.4252192972997959
2000-03-21,3274.10009765625,0.009790955321699712,0.9759740787700769
2000-03-22,3243.5,-0.009390058315878136,-0.9685829322872906
2000-03-23,3247.39990234375,0.0012016524277687068,0.10519688846732146
2000-03-27,3225.60009765625,-0.006735636368510711,-0.699479593663645
2000-03-28,3240.800048828125,0.0047012182428005644,0.4599802888578458
2000-03-29,3228.5,-0.003802594888647093,-0.4021300123976624
2000-03-30,3194.800048828125,-0.010493129739662876,-1.0804114993978093
2000-03-31,3133.300048828125,-0.019437725507723158,-1.9872080191489983
2000-04-03,3183.199951171875,0.01580018695426233,1.5851855481407304
2000-04-04,3163.5,-0.006207955186459557,-0.6459836647441041
2000-04-05,3137.800048828125,-0.008157076626822857,-0.8435841583298699
2000-04-06,3142.39990234375,0.0014648751230676993,0.1318822111142068
2000-04-07,3168.199951171875,0.008176779759621056,0.8123301512057832
2000-04-10,3187.300048828125,0.006010590876870836,0.5927235204605696
2000-04-11,3155.39990234375,-0.01005893884525122,-1.036393546863155
2000-04-12,3133.39990234375,-0.0069965940812632965,-0.7259352940510524
2000-04-13,3084.699951171875,-0.015664253743958412,-1.6046562357604355
2000-04-14,3096.0,0.003656563660415557,0.3540739780291917
2000-04-17,2920.0,-0.058527339447290494,-5.950084240497129
2000-04-18,2986.5,0.022518516910033703,2.2662848823541064
2000-04-19,3042.300048828125,0.018511691163439536,1.8600758443520482
2000-04-20,3041.5,-0.00026300957504155065,-0.04328946476764076
2000-04-26,3084.5,0.01403875488893469,1.4066128649211251
2000-04-27,3073.10009765625,-0.0037027137805072385,-0.3920041393455196
2000-04-28,3085.10009765625,0.003897247509968338,0.37847432912321444
2000-05-01,3071.800048828125,-0.004320378502020716,-0.454622533106982
2000-05-02,3099.10009765625,0.008848053374862275,0.8803833750613694
2000-05-03,3076.699951171875,-0.0072542001160034175,-0.7520512037943837
